player,salary,season_start,season_end,tm,year_cap,percent_of_cap,age,team,league,pos,g,gs,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp
Aaron Harrison,375579,2016,2017,CHA,94143000,0.003989452,22,CHO,NBA,SG,5,0,3.4,0,0.8,0,0,0.4,0,0,0.4,0,0,0.2,0.4,0.5,0,0.6,0.6,0.6,0,0,0,0.4,0.2,-2.2,0.102,0.5,0.5,0,19.4,9.7,22.5,0,0,0,12.9,-0.1,0,-0.1,-0.144,-9.5,-2,-11.5,0
Aaron McKie,650000,1994,1995,POR,15964000,0.040716612,22,POR,NBA,SG,45,20,18.4,2.6,5.8,0.444,0.2,0.6,0.393,2.3,5.2,0.451,0.466,1.1,1.6,0.685,0.8,2.1,2.9,2,0.8,0.4,0.9,2.2,6.5,13.3,0.5,0.107,0.28,4.6,13.5,8.8,15.9,2.2,1.4,11.7,17,0.8,1.2,2,0.115,-1.2,1.3,0.1,0.3
Aaron McKie,845000,1995,1996,POR,23000000,0.03673913,23,POR,NBA,SG,81,73,27.9,4.2,8.9,0.467,0.5,1.4,0.325,3.7,7.5,0.494,0.493,1.9,2.5,0.764,1.1,2.7,3.8,2.5,1.1,0.3,1.7,2.5,10.7,13.4,0.534,0.162,0.276,4.4,10.9,7.7,14.6,2.1,0.7,14.3,18.3,2.1,3.2,5.3,0.113,-0.5,1.4,1,-0.1
Aaron McKie,1040000,1996,1997,POR,24363000,0.042687682,24,TOT,NBA,SG,83,11,19.6,1.8,4.4,0.411,0.5,1.2,0.398,1.3,3.2,0.416,0.467,1.1,1.3,0.836,0.5,2.2,2.7,1.9,0.9,0.3,1.1,1.6,5.2,12.1,0.524,0.282,0.301,3.1,13.2,8.3,15.4,2.6,1.1,17.9,14.7,1,2.4,3.5,0.103,-1.4,1.7,0.3,0
Aaron McKie,1235000,1997,1998,DET,26900000,0.045910781,25,TOT,NBA,SG-SF,81,32,22.4,1.7,4.7,0.365,0.1,0.8,0.19,1.6,3.9,0.399,0.381,0.5,0.7,0.764,0.7,2.1,2.9,2.2,1.2,0.2,0.9,2,4.1,8.6,0.41,0.165,0.144,3.7,11.2,7.4,15,3,0.5,15.8,12,-0.7,2,1.4,0.036,-2.8,1.5,-1.3,0.2
Aaron McKie,1430000,1998,1999,PHI,30000000,0.047666667,26,PHI,NBA,SG,50,4,19.2,1.9,4.7,0.401,0.1,0.6,0.194,1.8,4.1,0.432,0.414,0.9,1.2,0.71,0.5,2.3,2.8,2,1.3,0.1,1.1,1.8,4.8,11.4,0.454,0.131,0.262,3.2,14,8.5,17.9,3.6,0.2,17.7,15.2,-0.1,1.7,1.6,0.082,-2.1,1.8,-0.3,0
Aaron McKie,1624000,1999,2000,PHI,34000000,0.047764706,27,PHI,NBA,SG,82,14,23.8,3,7.2,0.411,0.5,1.5,0.364,2.4,5.8,0.424,0.449,1.5,1.8,0.829,0.6,2.4,3,2.9,1.3,0.2,1.4,2.4,8,13.2,0.497,0.204,0.246,2.6,11.4,7,19.5,2.9,0.7,14.7,17.3,1.3,3,4.3,0.105,-0.5,1.6,1.1,-0.2
Aaron McKie,4000000,2001,2002,PHI,42500000,0.094117647,29,PHI,NBA,SG,48,16,30.6,4.6,10.2,0.449,1.1,2.7,0.398,3.5,7.5,0.467,0.501,2,2.5,0.787,0.5,3.5,4,3.7,1.2,0.3,1.9,1.5,12.2,15.8,0.54,0.261,0.249,2,12.7,7.4,21.7,2.1,0.7,14.6,19.8,1.8,2.1,3.9,0.128,0.9,0.5,1.4,-0.3
Aaron McKie,5500000,2004,2005,PHI,43870000,0.125370413,32,PHI,NBA,SG,68,3,16.4,0.9,2.1,0.43,0.3,0.9,0.323,0.6,1.2,0.513,0.5,0.1,0.2,0.625,0.3,2.2,2.5,1.5,0.7,0.3,0.5,1.7,2.2,8.4,0.51,0.437,0.113,2,15.5,8.7,13.4,2.2,1.2,17.2,7.1,0.5,1.5,2,0.085,-3.1,2.2,-0.9,-0.1
Aaron McKie,6000000,2005,2006,PHI,49500000,0.121212121,33,LAL,NBA,PG,14,0,8.6,0.2,0.9,0.25,0,0.1,0,0.2,0.7,0.3,0.25,0.1,0.1,0.5,0.2,1.2,1.4,0.8,0.4,0,0.1,0.5,0.5,6.1,0.272,0.167,0.167,2.9,16.5,9.7,12.5,2.2,0,13.4,5.6,0,0.1,0.1,0.041,-5.2,1.5,-3.7,-0.3
